"state_census_code","state","sector","observations","employment","members","covered","p_members","p_covered","state_abbreviation","year"
56,"North Carolina","Private",2635,3202632.74979166,50370.624425,88894.1551,0.0157278794795275,0.0277565866708755,"NC",2013
56,"North Carolina","Private",2753,3286211.12125,40123.1894,54381.2398666667,0.0122095588594675,0.0165483094751835,"NC",2014
56,"North Carolina","Private",3087,3517471.92476667,65050.9885166666,86457.2427083333,0.0184936765581369,0.0245793703943491,"NC",2015
56,"North Carolina","Private",3175,3642443.63015834,61857.7117333333,89020.6583,0.0169824752956629,0.0244398172944784,"NC",2016
56,"North Carolina","Private",3135,3689629.38050834,86683.18905,98900.4229666667,0.0234937388449907,0.0268049743026495,"NC",2017
56,"North Carolina","Private",2947,3670940.16752499,73363.9076583333,108934.766416667,0.0199850462377071,0.0296748951077461,"NC",2018
56,"North Carolina","Private",2923,3703539.70410833,43621.5148166667,65489.1586583333,0.0117783304303885,0.0176828559488058,"NC",2019
56,"North Carolina","Private",2454,3548954.11734166,65342.63645,87985.1082083333,0.0184118002653122,0.0247918423265219,"NC",2020
56,"North Carolina","Private",2734,3653326.22000833,55330.2179583333,76306.7038833333,0.0151451621204615,0.0208869129419327,"NC",2021
56,"North Carolina","Private",2606,3715095.42295,68242.0182333333,93501.0678666666,0.0183688458055258,0.0251678787171841,"NC",2022
58,"Georgia","Private",2871,1830469.21916667,202352.424166667,256489.16,0.110546752810478,0.140122085809708,"GA",1983
58,"Georgia","Private",2799,1958873.71583334,190471.630833333,219029.141666667,0.0972352772951126,0.111813813447952,"GA",1984
58,"Georgia","Private",2187,2018823.9275,183055.895833333,200833.3275,0.0906745195388794,0.0994803607463837,"GA",1985
58,"Georgia","Private",1872,2140327.41166667,186791.070833333,217759.4275,0.0872721970081329,0.101741172373295,"GA",1986
58,"Georgia","Private",1850,2204670.7,169860.669166667,189610.528333333,0.0770458206534386,0.0860040113329887,"GA",1987
58,"Georgia","Private",1865,2226060.55416667,202360.111666667,221933.12,0.0909050330519676,0.0996977016329765,"GA",1988
58,"Georgia","Private",1851,2332949.53083334,180336.58,195815.575833333,0.0772998183965683,0.0839347690343857,"GA",1989
58,"Georgia","Private",1718,2309669.80166666,129431.414166667,149419.855,0.0560389272868633,0.0646931678056717,"GA",1990
58,"Georgia","Private",1606,2250906.87416667,133864.885,155445.204166667,0.059471532702446,0.0690589249134064,"GA",1991
58,"Georgia","Private",1685,2348314.55166667,149496.739166667,160607.419166667,0.0636612921953201,0.0683926343917847,"GA",1992
58,"Georgia","Private",1628,2329880.55083333,130795.169166667,152408.2825,0.0561381429433823,0.0654146298766136,"GA",1993
58,"Georgia","Private",2004,2516166.942075,149575.4766,176090.456166667,0.0594457685947418,0.0699836164712906,"GA",1994
58,"Georgia","Private",3233,2625640.95198334,135776.06485,148308.438566667,0.0517115890979767,0.0564846619963646,"GA",1995
58,"Georgia","Private",2202,2644037.66801667,159127.521075,183126.027066667,0.0601835288107395,0.0692599937319756,"GA",1996
