"player_ID","Player","year_ID","Age","Tm","tm_gms","Tm_Net_Rtg","Pos","G","MP","MP_pct","PER","TS_pct","ThrPAr","FTr","ORB_pct","TRB_pct","AST_pct","STL_pct","BLK_pct","TOV_pct","USG_pct","OWS","DWS","WS","WS40","Composite_Rating","Wins_Generated"
"mitchle01w","Leilani Mitchell",2019,34,"PHO",34,-1.4,"G",32,971,"71.1%",17.6,0.603,0.566,0.27,2,5.7,24.4,1.6,0.8,14.6,19.5,2.8,0.6,3.5,0.142,1.6,3.17
"januabr01w","Briann January",2019,32,"PHO",34,-1.4,"G",32,852,"62.4%",8.8,0.52,0.451,0.236,0.8,2.8,20.3,1.6,0.3,21.2,14.2,0.3,0.3,0.5,0.025,-3,0.87
"turneyv01w","Yvonne Turner",2019,31,"PHO",34,-1.4,"G",29,595,"43.6%",9.1,0.483,0.459,0.285,1.6,7.7,19.5,1.6,0.3,23.4,20.1,-0.7,0.5,-0.3,-0.017,-4,0.3
"turnebr01w","Brianna Turner",2019,22,"PHO",34,-1.4,"F",29,462,"33.8%",14,0.571,0,0.286,11.6,15,5.7,0.8,3.6,15.6,12.5,0.9,0.5,1.4,0.125,0.5,1.27
"littlca01w","Camille Little",2019,34,"PHO",34,-1.4,"F",29,425,"31.1%",9.6,0.53,0.228,0.337,5.3,9.4,9.3,1.4,1.5,19.1,14.6,0.2,0.4,0.6,0.054,-2.1,0.62
"carsoes01w","Essence Carson",2019,32,"PHO",34,-1.4,"F-G",23,425,"31.1%",11.5,0.461,0.32,0.289,3.1,6.9,14.4,1.5,1.5,10.5,18,0.1,0.3,0.4,0.042,-2.1,0.62
"cunniso01w","Sophie Cunningham",2019,22,"PHO",34,-1.4,"G",32,389,"28.5%",8.1,0.532,0.582,0.43,1.8,6.7,10.6,1.5,0.8,17.6,13.9,0.2,0.3,0.5,0.053,-2.4,0.51
"lyttlsa01w","Sancho Lyttle",2019,35,"PHO",34,-1.4,"F",20,250,"18.3%",9.3,0.443,0.065,0.129,6.7,13.4,4.2,2.5,1.6,15.5,14.7,-0.2,0.4,0.2,0.03,-2.8,0.28
"howarna01w","Natasha Howard",2019,27,"SEA",34,-0.4,"F",34,1066,"78.4%",24.2,0.523,0.201,0.306,10.1,16.1,14,3.7,4.8,14.4,29.4,2,2.6,4.6,0.173,3.7,4.61
"clarkal01w","Alysha Clark",2019,31,"SEA",34,-0.4,"F",31,881,"64.8%",16.3,0.602,0.447,0.093,4.9,10.1,15.8,2,1.7,16.3,15.3,2,1.1,3.1,0.141,1.5,2.85
"russeme01w","Mercedes Russell",2019,23,"SEA",34,-0.4,"C",34,870,"64.0%",15.5,0.546,0,0.319,10.9,14.6,7,2.2,1.7,12.4,14,1.8,1.3,3.1,0.143,1.4,2.78
"canadjo01w","Jordin Canada",2019,23,"SEA",34,-0.4,"G",30,865,"63.6%",14.7,0.454,0.149,0.284,1.8,5,31.7,4.1,0.7,19.6,21.3,-0.1,1.4,1.3,0.061,-0.9,1.79
"loydje01w","Jewell Loyd",2019,25,"SEA",34,-0.4,"G",27,686,"50.4%",15.6,0.504,0.338,0.231,1.9,6.6,15,2.7,0.4,13.6,25.4,0.5,0.8,1.3,0.078,-0.3,1.62
"whitcsa01w","Sami Whitcomb",2019,30,"SEA",34,-0.4,"G",33,674,"49.5%",12.8,0.52,0.821,0.049,2.9,5.2,20.2,2.8,0.5,18.5,19,0.4,0.7,1.2,0.07,-1,1.36
"langhcr01w","Crystal Langhorne",2019,32,"SEA",34,-0.4,"F",34,577,"42.4%",10.9,0.502,0.333,0.257,5.5,11.3,10,0.9,1.3,18.4,18.5,0,0.6,0.6,0.039,-2.1,0.84
"mosquka01w","Kaleena Mosqueda-Lewis",2019,25,"SEA",34,-0.4,"F",31,435,"32.0%",8.3,0.508,0.503,0.086,2.4,5.1,6.7,1,1,17.5,21.6,-0.3,0.2,-0.1,-0.007,-3.8,0.28
"zellosh01w","Shavonte Zellous",2019,32,"SEA",34,-0.4,"G",31,432,"31.8%",7.8,0.464,0.276,0.345,1.6,6.8,17.5,1.2,1.2,20.8,17.8,-0.3,0.4,0.1,0.006,-3.5,0.33
"parisco01w","Courtney Paris",2019,31,"SEA",34,-0.4,"C",30,190,"14.0%",8.4,0.415,0,0.467,8,16.8,10.3,2.2,1.4,33.2,6.5,0,0.3,0.3,0.065,-1.9,0.3
"cloudna01w","Natasha Cloud",2019,27,"WAS",34,15.6,"G",34,1093,"80.1%",12.2,0.501,0.495,0.215,0.7,4.7,24.1,1.7,0.5,17.5,15.5,1.7,0.8,2.5,0.09,-0.1,2.68
"delleel01w","Elena Delle Donne",2019,29,"WAS",34,15.6,"G-F",31,901,"66.0%",31.8,0.633,0.283,0.274,6.6,17.2,13.2,1.1,3.6,5.9,25.7,6.2,1.5,7.7,0.343,9.9,6.64
"pringla01w","LaToya Sanders",2019,32,"WAS",34,15.6,"F",34,804,"58.9%",16.3,0.55,0,0.215,6.8,14.1,11.6,1.9,4.8,13.7,12.4,1.9,1.5,3.4,0.167,2.6,3.05
"atkinar01w","Ariel Atkins",2019,22,"WAS",34,15.6,"G",33,804,"58.9%",17,0.532,0.483,0.179,3.7,7,12.2,3.1,1.8,9.6,20,1.9,1.1,3,0.15,2.3,2.92
"tolivkr01w","Kristi Toliver",2019,32,"WAS",34,15.6,"G",23,678,"49.7%",20.9,0.595,0.426,0.149,2,6,31.1,2.1,0.2,15.8,20,2.7,0.6,3.3,0.195,4.2,3.08
"powerae01w","Aerial Powers",2019,25,"WAS",34,15.6,"F",30,593,"43.4%",21.8,0.587,0.466,0.394,7.1,10,12,2.2,0.8,13.1,25.9,2.4,0.7,3,0.204,4.6,2.81
"walkesh01w","Shatori Walker-Kimbrough",2019,24,"WAS",34,15.6,"G",34,580,"42.5%",15.2,0.564,0.403,0.324,3.6,5.6,10.6,2.5,1.1,14.5,18.5,1.3,0.6,1.9,0.13,1.5,1.87
"meessem01w","Emma Meesseman",2019,26,"WAS",34,15.6,"C",23,543,"39.8%",27.3,0.628,0.204,0.19,6.2,10.9,22.7,1.9,2.3,8.4,22,3.3,0.7,4,0.292,7.8,3.44
"hawkiti01w","Tianna Hawkins",2019,28,"WAS",34,15.6,"F",31,477,"34.9%",23.5,0.623,0.414,0.182,12.2,16.5,8.3,1.5,0.7,12.8,26.1,2.1,0.6,2.7,0.229,5.5,2.48
